Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-03-16,234.4649842600952,249.74730431446076,230.75134960260232,233.17202758789062,297240000,0.0,0
2020-03-17,238.2175212076312,249.0376562132151,230.46943782562667,245.761474609375,262070500,0.0,0
2020-03-18,229.67226433753967,241.45481131034128,221.67141035137175,233.31785583496094,327597100,0.0,0
2020-03-19,232.58873104047356,240.49237793303874,225.75446355753633,233.8136444091797,289322000,0.0,0
2020-03-20,237.16383402085626,239.06091240014746,223.4442598710459,223.7376251220703,347158800,1.406,0
2020-03-23,223.1411413446208,224.59816451800083,213.43084168041827,218.01707458496094,326025200,0.0,0
2020-03-24,229.23330272670037,238.69913416853413,228.62702540609016,237.7701416015625,235494500,0.0,0
2020-03-25,239.45207299453523,250.67808060465813,234.44536139662907,241.32958984375,299430300,0.0,0
2020-03-26,243.9991823297747,256.9853360043257,243.53958024744892,255.42076110839844,257632800,0.0,0
2020-03-27,247.66622155588533,255.03938701658615,245.49533947389384,247.81289672851562,224341200,0.0,0
2020-03-30,250.04243029493665,256.6235194919343,247.9204450685994,255.86077880859375,171369500,0.0,0
2020-03-31,254.79492831077323,257.50362941137655,250.55095737838485,252.04710388183594,194881100,0.0,0
2020-04-01,242.4932623523015,251.95909324226244,238.50353345698022,240.70375061035156,189554600,0.0,0
2020-04-02,239.7650172489994,247.08928667213348,239.17828666322316,246.2581024169922,177660400,0.0,0
2020-04-03,245.21175283629987,247.71512356522499,239.79433580745666,242.69862365722656,135561200,0.0,0
2020-04-06,252.13511917365244,261.09245181319545,242.67907598653994,258.9997863769531,188061200,0.0,0
2020-04-07,268.14291019985876,268.94477430821763,259.0291441745343,259.2638244628906,201427200,0.0,0
2020-04-08,262.03118437106104,269.8933019578669,259.3811534214645,267.9668884277344,153774500,0.0,0
2020-04-09,271.4383096224671,274.97823932426127,269.3750093671831,272.04461669921875,189999200,0.0,0
2020-04-13,271.00808617824674,271.3698948789192,265.4048559368289,269.5608215332031,114839100,0.0,0
2020-04-14,274.76313141634444,278.59638195865966,269.41415780439326,277.5109558105469,134143400,0.0,0
2020-04-15,271.42858137516436,277.65763600067135,269.3652510479401,271.6143798828125,121775000,0.0,0
2020-04-16,272.97362543408286,273.8341596576663,269.6586468254577,272.92474365234375,131798300,0.0,0
2020-04-17,279.06575100745704,280.94325280708125,276.15167507473143,280.2978820800781,146684800,0.0,0
2020-04-20,276.35704017825054,280.4445774114315,275.12493885938494,275.359619140625,100109300,0.0,0
2020-04-21,270.60716840379814,271.8881813618197,266.0013589196828,266.9988098144531,126385700,0.0,0
2020-04-22,272.1913378721112,274.78269899379467,270.7831963866761,272.92474365234375,92951600,0.0,0
2020-04-23,274.2839270640303,277.6576050187148,272.58243549159073,272.9051208496094,104709700,0.0,0
2020-04-24,274.518647171445,277.42293486886786,272.33797686479204,276.7090759277344,85063200,0.0,0
2020-04-27,278.81153167610864,281.89182992979033,278.3225944979891,280.6988220214844,77896600,0.0,0
2020-04-28,284.58098439485167,284.9525814249806,279.08533528784704,279.4080505371094,105270000,0.0,0
2020-04-29,285.07968206607995,288.35556680833133,283.984467668727,286.7225036621094,118745600,0.0,0
2020-04-30,285.2557449795829,286.83013834845514,282.20478149682185,284.052978515625,122901700,0.0,0
