Date,Date,Open,High,Low,Close
2020-03-16,18337.0,234.4649842600952,249.74730431446076,230.75134960260232,233.17202758789062
2020-03-17,18338.0,238.2175212076312,249.0376562132151,230.46943782562667,245.761474609375
2020-03-18,18339.0,229.67226433753967,241.45481131034128,221.67141035137175,233.31785583496094
2020-03-19,18340.0,232.58873104047356,240.49237793303874,225.75446355753633,233.8136444091797
2020-03-20,18341.0,237.16383402085626,239.06091240014746,223.4442598710459,223.7376251220703
2020-03-23,18344.0,223.1411413446208,224.59816451800083,213.43084168041827,218.01707458496094
2020-03-24,18345.0,229.23330272670037,238.69913416853413,228.62702540609016,237.7701416015625
2020-03-25,18346.0,239.45207299453523,250.67808060465813,234.44536139662907,241.32958984375
2020-03-26,18347.0,243.9991823297747,256.9853360043257,243.53958024744892,255.42076110839844
2020-03-27,18348.0,247.66622155588533,255.03938701658615,245.49533947389384,247.81289672851562
2020-03-30,18351.0,250.04243029493665,256.6235194919343,247.9204450685994,255.86077880859375
2020-03-31,18352.0,254.79492831077323,257.50362941137655,250.55095737838485,252.04710388183594
2020-04-01,18353.0,242.4932623523015,251.95909324226244,238.50353345698022,240.70375061035156
2020-04-02,18354.0,239.7650172489994,247.08928667213348,239.17828666322316,246.2581024169922
2020-04-03,18355.0,245.21175283629987,247.71512356522499,239.79433580745666,242.69862365722656
2020-04-06,18358.0,252.13511917365244,261.09245181319545,242.67907598653994,258.9997863769531
2020-04-07,18359.0,268.14291019985876,268.94477430821763,259.0291441745343,259.2638244628906
2020-04-08,18360.0,262.03118437106104,269.8933019578669,259.3811534214645,267.9668884277344
2020-04-09,18361.0,271.4383096224671,274.97823932426127,269.3750093671831,272.04461669921875
2020-04-13,18365.0,271.00808617824674,271.3698948789192,265.4048559368289,269.5608215332031
2020-04-14,18366.0,274.76313141634444,278.59638195865966,269.41415780439326,277.5109558105469
2020-04-15,18367.0,271.42858137516436,277.65763600067135,269.3652510479401,271.6143798828125
2020-04-16,18368.0,272.97362543408286,273.8341596576663,269.6586468254577,272.92474365234375
