,Date,Open,High,Low,Close
23520,18885.625,9.249,9.302,9.052,9.081
23521,18885.666666666668,9.081,9.17,8.957,9.037
23522,18885.708333333332,9.036,9.154,8.971,9.06
23523,18885.75,9.061,9.086,8.879,8.96
23524,18885.791666666668,8.961,8.972999999999999,8.774,8.807
23525,18885.833333333332,8.812999999999999,8.999,8.793,8.968
23526,18885.875,8.971,9.052,8.83,8.964
23527,18885.916666666668,8.966000000000001,9.1,8.925,9.046
23528,18885.958333333332,9.039,9.3,9.005,9.151
23529,18886.0,9.15,9.244,9.1,9.145
23530,18886.041666666668,9.146,9.205,9.05,9.07
23531,18886.083333333332,9.073,9.174,9.014,9.152000000000001
23532,18886.125,9.148,9.418,9.065,9.417
23533,18886.166666666668,9.411,9.63,9.387,9.503
23534,18886.208333333332,9.503,9.555,9.328,9.376
23535,18886.25,9.376,9.67,9.225,9.242
23536,18886.291666666668,9.24,9.373,9.107999999999999,9.139
23537,18886.333333333332,9.139,9.261000000000001,9.126,9.199
23538,18886.375,9.197000000000001,9.225,8.984,9.037
23539,18886.416666666668,9.042,9.057,8.83,8.914
23540,18886.458333333332,8.914,9.081,8.892000000000001,9.056000000000001
23541,18886.5,9.052999999999999,9.154,9.01,9.127
23542,18886.541666666668,9.126,9.168,9.066,9.139
23543,18886.583333333332,9.139,9.2,9.096,9.127
23544,18886.625,9.126,9.135,8.929,9.003
23545,18886.666666666668,8.997,9.043,8.896,8.919
23546,18886.708333333332,8.915,8.966000000000001,8.8,8.87
23547,18886.75,8.866,8.982999999999999,8.86,8.941
23548,18886.791666666668,8.935,9.0,8.8,8.917
23549,18886.833333333332,8.92,8.937000000000001,8.62,8.665
23550,18886.875,8.665,8.808,8.566,8.715
23551,18886.916666666668,8.716000000000001,8.923,8.656,8.865
23552,18886.958333333332,8.866,8.943999999999999,8.77,8.809
23553,18887.0,8.807,8.875,8.647,8.669
23554,18887.041666666668,8.666,8.759,8.619,8.747
23555,18887.083333333332,8.756,8.883,8.718,8.749
23556,18887.125,8.753,8.776,8.43,8.479
23557,18887.166666666668,8.479,8.695,8.451,8.656
23558,18887.208333333332,8.655,8.738999999999999,8.617,8.687000000000001
23559,18887.25,8.677999999999999,8.818,8.628,8.73
23560,18887.291666666668,8.724,8.818,8.57,8.573
23561,18887.333333333332,8.573,8.808,8.531,8.777000000000001
23562,18887.375,8.777000000000001,8.785,8.601,8.623
23563,18887.416666666668,8.625,8.732000000000001,8.588,8.709
23564,18887.458333333332,8.71,8.746,8.603,8.681000000000001
23565,18887.5,8.677,8.955,8.675,8.869
23566,18887.541666666668,8.865,8.932,8.756,8.824
23567,18887.583333333332,8.827,8.867,8.552999999999999,8.6
23568,18887.625,8.605,8.672,8.54,8.574
23569,18887.666666666668,8.575,8.625,8.455,8.476
23570,18887.708333333332,8.477,8.508,8.158999999999999,8.273
23571,18887.75,8.27,8.417,8.226,8.281
23572,18887.791666666668,8.274,8.46,8.219,8.43
23573,18887.833333333332,8.426,8.426,8.283,8.355
23574,18887.875,8.355,8.499,8.324,8.41
23575,18887.916666666668,8.416,8.476,8.347000000000001,8.395
23576,18887.958333333332,8.395,8.547,8.317,8.48
23577,18888.0,8.48,8.488,8.315,8.327
23578,18888.041666666668,8.329,8.335,8.167,8.288
23579,18888.083333333332,8.282,8.449,8.267999999999999,8.419
23580,18888.125,8.421,8.491,8.302999999999999,8.328
23581,18888.166666666668,8.321,8.357000000000001,8.185,8.324
23582,18888.208333333332,8.33,8.382,8.107999999999999,8.119
23583,18888.25,8.126,8.387,8.111,8.322000000000001
23584,18888.291666666668,8.323,8.33,8.111,8.237
23585,18888.333333333332,8.243,8.352,8.209,8.321
23586,18888.375,8.32,8.4,8.317,8.328
23587,18888.416666666668,8.329,8.465,8.329,8.433
23588,18888.458333333332,8.435,8.618,8.427,8.586
23589,18888.5,8.591000000000001,8.792,8.544,8.721
23590,18888.541666666668,8.727,8.891,8.658,8.823
23591,18888.583333333332,8.826,8.911,8.711,8.756
23592,18888.625,8.756,8.875,8.744,8.802999999999999
23593,18888.666666666668,8.802,8.835,8.645,8.709
23594,18888.708333333332,8.716000000000001,8.8,8.668,8.722000000000001
23595,18888.75,8.722000000000001,8.981,8.685,8.89
23596,18888.791666666668,8.891,8.975,8.654,8.74
23597,18888.833333333332,8.748,9.175,8.658,9.007
23598,18888.875,9.011000000000001,9.091000000000001,8.9,8.955
23599,18888.916666666668,8.959,9.05,8.826,8.898
23600,18888.958333333332,8.896,9.41,8.85,9.369
23601,18889.0,9.365,9.404,9.196,9.207
23602,18889.041666666668,9.2,9.339,9.129,9.217
23603,18889.083333333332,9.212,9.232999999999999,9.049,9.166
23604,18889.125,9.165,9.317,8.96,9.275
23605,18889.166666666668,9.264,9.44,9.11,9.123
23606,18889.208333333332,9.115,9.27,9.091000000000001,9.152999999999999
23607,18889.25,9.158,9.179,8.974,9.071
23608,18889.291666666668,9.068,9.1,8.8,8.812999999999999
